,SessionID,Number,会話概要,形式,場所,活動,話者間の関係性,収録年
120,K008_016,2,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
125,K009_007,2,飲食店で友人と昼食後に雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年
131,K009_014,2,会社の作業場で部下と仕事をしながら,用談・相談,職場,仕事,同僚,2018年
136,K010_003,2,自宅で友人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
137,K010_003,2,自宅で友人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
138,K010_004,2,自宅で知人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
139,K010_004,2,自宅で知人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
140,K010_005,2,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年
141,K010_005,2,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年
142,K010_006,2,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年
143,K010_008,2,オフィスで弟に保証人の依頼,用談・相談,職場_相手の職場,家事雑事,家族,2018年
144,K010_011,2,店で友人たちと雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
146,K010_013,2,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年
147,K010_013,2,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年
150,K010_017,2,家の近所で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2018年
153,K011_005,2,カラオケボックスで友達の友達に爪磨きのレッスン,授業・レッスン,公共商業施設_商業施設,レジャー活動,サービス場面関係,2018年
155,K011_009,2,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年
156,K011_009,2,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年
161,K012_001,2,研究機関で知人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
162,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
163,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
164,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
165,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
166,K012_003,2,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年
167,K012_003,2,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年
169,K012_006,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
170,K012_007,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
171,K012_007,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
173,K013_004,2,恋人の家で恋人と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2018年
176,K013_012,2,自宅で恋人と旅行について相談,用談・相談,自宅,食事・その他,友人知人,2019年
177,K013_017,2,恋人の家で恋人と旅行について相談,用談・相談,室内_友人知人宅,その他,友人知人,2019年
178,K013_019,2,実家で祖母と雑談,雑談,室内_実家,休息,家族,2019年
182,S001_011,2,自宅で配偶者と料理をしながら,雑談,自宅,家事雑事,家族,2017年
184,S001_013,2,自宅で配偶者と家事雑事をしながら,雑談,自宅,家事雑事,家族,2017年
192,S002_005,2,飲食店で取引先の方と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,仕事関係,2017年
198,S002_012,2,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
199,S002_014,2,友人宅で友人と飲みながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2017年
200,T001_002,2,自宅で配偶者と棚の組み立て,用談・相談,自宅,家事雑事,家族,2016年
201,T001_003,2,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年
202,T001_005,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
203,T001_007,2,自宅で配偶者と母の日のプレゼント選び,用談・相談,自宅,家事雑事,家族,2016年
204,T001_008,2,飲食店で元同僚と昼食後の雑談,雑談,公共商業施設_飲食店,付き合い,元同僚,2016年
208,T001_015,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
209,T001_016,2,飲食店で元同僚と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年
212,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
213,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
214,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
215,T002_012,2,飲食店で母と雑談,雑談,公共商業施設_飲食店,休息,家族,2016年
216,T002_013,2,飲食店で仕事関係者と夕食および打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,仕事関係,2016年
218,T002_015,2,飲食店で先輩と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
219,T002_018,2,飲食店で配偶者と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2016年
220,T002_019,2,飲食店で仕事関係者と仕事の打合せ,用談・相談,公共商業施設_飲食店,仕事,仕事関係,2016年
224,T003_003,2,食店で父母会役員の引き継ぎ,用談・相談,公共商業施設_飲食店,社会参加,友人知人,2016年
238,T004_006,2,温熱療法施設で施術師と施術後の雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2016年
243,T004_016,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2016年
258,T006_001,2,大学でサークル顧問の先生と雑談,雑談,学校,付き合い,先生生徒,2016年
260,T006_003,2,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
262,T006_005,2,自宅で友人と電話で雑談,雑談,自宅,付き合い,友人知人,2016年
265,T006_009,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
266,T007_004,2,実家で弟とテレビを見ながら,雑談,室内_実家,休息,家族,2016年
270,T007_009,2,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年
271,T007_010,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年
274,T007_016,2,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年
275,T007_016,2,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年
277,T008_003,2,自宅で配偶者と夜食を取りながら,雑談,自宅,食事,家族,2016年
278,T008_004,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2016年
279,T008_005,2,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年
280,T008_005,2,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年
281,T008_005,2,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年
283,T008_008,2,実家で母と夕食の準備および夕食,雑談,室内_実家,食事・家事雑事,家族,2016年
284,T008_009,2,自宅で配偶者と夜食後に雑談,雑談,自宅,休息,家族,2016年
285,T008_010,2,飲食店で仕事関係者と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,仕事関係,2016年
286,T008_011,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
287,T008_013,2,自宅で配偶者と引き出物選び,用談・相談,自宅,家事雑事,家族,2016年
288,T008_014,2,飲食店で友人と仕事しながら,雑談,公共商業施設_飲食店,仕事,仕事関係,2016年
289,T008_014,2,飲食店で友人と仕事しながら,雑談,公共商業施設_飲食店,仕事,仕事関係,2016年
291,T008_019,2,事務所で仕事関係者と昼食を取りながら,雑談,職場_相手の職場,付き合い,仕事関係,2016年
292,T008_019,2,事務所で仕事関係者と昼食を取りながら,雑談,職場_相手の職場,付き合い,仕事関係,2016年
293,T008_020,2,公園で配偶者と散歩しながら,雑談,屋外,移動・レジャー活動,家族,2016年
294,T008_021,2,実家で母と雑談,雑談,室内_実家,食事・休息,家族,2016年
295,T008_022,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
296,T008_022,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
297,T008_022,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
298,T009_001,2,自宅で祖母とお茶をしながら,雑談,自宅,休息,家族,2016年
299,T009_002,2,自宅で母とお茶をしながら,雑談,自宅,食事,家族,2016年
300,T009_003,2,飲食店で恋人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
302,T009_005,2,自宅で友人と雑談,雑談,自宅,食事,友人知人,2016年
303,T009_005,2,自宅で友人と雑談,雑談,自宅,食事,友人知人,2016年
309,T009_015,2,飲食店で母と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2016年
310,T009_017,2,渓谷で恋人と散策,雑談,屋外,移動・レジャー活動,友人知人,2016年
313,T009_021,2,飲食店で後輩に役員の業務引き継ぎ,用談・相談,公共商業施設_飲食店,食事・課外活動,友人知人,2016年
314,T009_021,2,飲食店で後輩に役員の業務引き継ぎ,用談・相談,公共商業施設_飲食店,食事・課外活動,友人知人,2016年
315,T009_022,2,飲食店で同僚と雑務や接客をしながら,用談・相談,職場,仕事,同僚,2016年
316,T010_002,2,自宅で母と夕食を取りながら,雑談,自宅,食事,家族,2016年
317,T010_002,2,自宅で母と夕食を取りながら,雑談,自宅,食事,家族,2016年
320,T010_005,2,自宅で友人とゲームしながら,雑談,自宅,レジャー活動,友人知人,2016年
322,T010_007,2,飲食店で母校の教員と講座企画の打合せ,用談・相談,公共商業施設_飲食店,仕事・課外活動,先生生徒,2017年
323,T010_009,2,大学でゼミの先生と送別会について相談,用談・相談,学校,課外活動,先生生徒,2017年
324,T010_013,2,飲食店で友人と夕食後に雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2017年
335,T013_001,2,自宅で配偶者と夕食後に雑談,雑談,自宅,休息,家族,2016年
336,T013_003,2,公園で配偶者と散歩しながら,雑談,屋外,移動・レジャー活動,家族,2016年
338,T013_005,2,自宅で配偶者と雑談,雑談,自宅,休息,家族,2016年
340,T013_007,2,自宅で配偶者と雑談,雑談,自宅,休息,家族,2016年
346,T013_017,2,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2017年
347,T013_018,2,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2017年
348,T013_020,2,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2017年
349,T013_021,2,飲食店で先輩と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
350,T014_001,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年
351,T014_001,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年
352,T014_005,2,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年
353,T014_005,2,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年
354,T014_005,2,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年
356,T014_008,2,同僚宅で同僚と料理をしながら,雑談,室内_友人知人宅,家事雑事,同僚,2017年
357,T014_010,2,同僚と車で移動中,雑談,交通機関_車,移動,同僚,2017年
358,T014_010,2,同僚と車で移動中,雑談,交通機関_車,移動,同僚,2017年
359,T014_011,2,病院で元上司に仕事の相談,用談・相談,職場,仕事・その他,元同僚,2017年
360,T014_011,2,病院で元上司に仕事の相談,用談・相談,職場,仕事・その他,元同僚,2017年
361,T014_012,2,自営サロンで同僚に施術前の問診,用談・相談,職場,仕事・身の周りの用事,同僚,2017年
363,T014_016,2,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
364,T014_018,2,友人宅で友人とケーキを作りながら,用談・相談,室内_友人知人宅,家事雑事・その他,友人知人,2017年
367,T015_003,2,会社の応接室で取引先と仕事の打合せ,会議・会合,職場,仕事,仕事関係,2017年
372,T015_008,2,床屋で理容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
373,T015_008,2,床屋で理容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
374,T015_010,2,飲食店で店主に取材しながら,用談・相談,職場_相手の職場,仕事,仕事関係,2017年
376,T015_012,2,飲食店で息子と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
377,T015_012,2,飲食店で息子と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
378,T015_014,2,飲食店でボーイスカウトの先輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
385,T016_003,2,自宅で配偶者と夕食後の雑談,雑談,自宅,休息,家族,2017年
387,T016_005,2,自宅で息子と朝食を取りながら,雑談,自宅,食事・家事雑事,家族,2017年
388,T016_006,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
389,T016_006,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
391,T016_008,2,研究機関で仕事関係者と打合せ,用談・相談,職場_相手の職場,仕事,仕事関係,2018年
392,T017_004,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
394,T017_006,2,自宅で友人と料理を作りながら,用談・相談,自宅,食事・家事雑事,友人知人,2017年
396,T017_011,2,スタジオでインストラクターとピラティスのレッスン,授業・レッスン,公共商業施設_スクール,仕事・レジャー活動,サービス場面関係,2017年
397,T017_011,2,スタジオでインストラクターとピラティスのレッスン,授業・レッスン,公共商業施設_スクール,仕事・レジャー活動,サービス場面関係,2017年
398,T017_012,2,自宅で保険会社の担当者と保険更新の手続き,用談・相談,自宅,仕事・家事雑事,サービス場面関係,2017年
399,T017_016,2,自宅で妹と雑談,雑談,自宅,休息,家族,2017年
400,T017_017,2,飲食店で妹と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
401,T017_018,2,カラオケボックスで友人と軽食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
403,T018_004,2,塾で部下と仕事について相談,用談・相談,職場,仕事,同僚,2017年
407,T018_017,2,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2017年
408,T018_021,2,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2017年
409,T018_022,2,塾で友人の息子に受験勉強についてアドバイス,用談・相談,職場,仕事・課外活動,先生生徒,2017年
413,T019_008,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
414,T019_008,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
416,T019_011,2,自宅で配偶者と夏休みの予定について相談,用談・相談,自宅,その他,家族,2018年
417,T019_011,2,自宅で配偶者と夏休みの予定について相談,用談・相談,自宅,その他,家族,2018年
419,T019_016,2,自宅で息子の宿題を見ながら,用談・相談,自宅,家事雑事・課外活動,家族,2018年
421,T020_003,2,職員室で同僚と修学旅行の下見について相談,用談・相談,職場,仕事,同僚,2017年
423,T020_006,2,高校の打合せ室で生徒に小論文指導,授業・レッスン,職場,仕事・学業,先生生徒,2017年
424,T020_007,2,職員室で同僚と国語科の指導内容について相談,用談・相談,職場,仕事,同僚,2017年
425,T020_008,2,高校のコピー室で同僚たちと資料を印刷しながら,雑談,職場,仕事,同僚,2017年
426,T020_009,2,高校の打合せ室で同僚と資料を揃えながら,雑談,職場,仕事,同僚,2017年
427,T020_010,2,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年
428,T020_010,2,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年
429,T020_010,2,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年
435,T020_022,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
436,T020_022,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
437,T020_022,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
438,T020_022,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
440,T021_002,2,自宅で友人とお茶をしながら,雑談,自宅,食事・付き合い,友人知人,2017年
441,T021_003,2,自宅で息子と雑談,雑談,自宅,食事,家族,2017年
442,T021_005,2,自宅で友人とお茶をしながら,雑談,自宅,食事・付き合い,友人知人,2017年
443,T021_006,2,印刷会社で社長と印刷物について打合せ,用談・相談,職場_相手の職場,仕事,仕事関係,2017年
444,T021_007,2,自宅で孫と雑談,雑談,自宅,休息,家族,2017年
447,T021_011,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,食事・身の周りの用事,サービス場面関係,2018年
448,T021_011,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,食事・身の周りの用事,サービス場面関係,2018年
449,T021_014,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2018年
450,T021_015,2,自宅で友人と電話で雑談,雑談,自宅,付き合い,友人知人,2018年
451,T021_016,2,自宅で親戚とお茶をしながら,雑談,自宅,食事・付き合い,親戚,2018年
452,T022_003,2,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年
453,T022_005,2,旅行帰りの列車内で恋人と雑談,雑談,交通機関_電車,移動,友人知人,2018年
454,T022_007,2,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年
455,T022_007,2,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年
457,T022_009,2,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年
459,T022_012,2,新幹線の車内で友人と雑談,雑談,交通機関_電車,移動,友人知人,2018年
461,T022_015,2,飲食店で友人と誕生日会,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
462,T022_017,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
463,T022_017,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
464,T023_001,2,自宅で配偶者と雑談,雑談,自宅,休息,家族,2018年
468,T023_007,2,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2018年
473,T023_013,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2018年
474,T023_017,2,元同僚と車で移動中,雑談,交通機関_車,移動,元同僚,2018年
